media,record,scene,translation_rows,used_hangul,common_glyphs,common_glyph_count,new_glyphs,new_glyph_count,glyph_add_bytes,existing_local_slots,existing_dead_slots,newly_freed_slots,glyph_reclaim_bytes,donor_reclaim_bytes,string_reclaim_bytes,appended_glyph_count,appended_glyph_bytes,string_delta_bytes,string_increase_bytes,text_overflow_bytes,internal_slack_bytes,record_growth_bytes,final_headroom,overflow_bytes,row_ids,confidence,scene_pad_budget,scene_total_growth,scene_final_headroom,scene_overflow_bytes,gcx,pinned_record,string_region_bytes,layout_policy,records,translation_records
codec,,,1,공눌대러버서션액에옆을작조튼포해,대러버서션에을조포해,10,공눌액옆작튼,6,384,0,0,0,0,0,65,6,384,-65,0,,,,0,319,codec:1175:14,confirmed_binary_and_builder_logic,,,,,1175,no,3732,per_gcx_size_preserved; no record relocation,,
codec,,,4,곧나를미안았요찾,나를미안았요,6,곧찾,2,128,0,0,0,0,0,118,2,128,-118,0,,,,0,10,codec:1189:33|codec:1189:34|codec:1189:14|codec:1189:17,confirmed_binary_and_builder_logic,,,,,1189,no,3312,per_gcx_size_preserved; no record relocation,,
codec,,,1,그러면실야은패,그러면야은,5,실패,2,128,0,0,0,0,0,26,2,128,-26,0,,,,0,102,codec:1212:16,confirmed_binary_and_builder_logic,,,,,1212,no,2816,per_gcx_size_preserved; no record relocation,,
codec,,,3,가그난래서어없연우의일제치형,가그난래서어없우의일제,11,연치형,3,192,0,0,0,0,0,8,3,192,-8,3,,,,0,184,codec:1218:17|codec:1218:15|codec:1218:22,confirmed_binary_and_builder_logic,,,,,1218,no,3552,per_gcx_size_preserved; no record relocation,,
codec,,,2,괜그까럴아왜요찮,그까럴아왜요,6,괜찮,2,128,0,0,0,0,0,19,2,128,-19,0,,,,0,109,codec:1219:32|codec:1219:26,confirmed_binary_and_builder_logic,,,,,1219,no,4508,per_gcx_size_preserved; no record relocation,,
codec,,,1,그럼뭐였지,그뭐지,3,럼였,2,128,0,0,0,0,0,6,2,128,-6,0,,,,0,122,codec:1224:16,confirmed_binary_and_builder_logic,,,,,1224,no,2560,per_gcx_size_preserved; no record relocation,,
codec,,,1,가사제짜형,가사제,3,짜형,2,128,0,0,0,0,0,6,2,128,-6,0,,,,0,122,codec:1231:17,confirmed_binary_and_builder_logic,,,,,1231,no,2564,per_gcx_size_preserved; no record relocation,,
codec,,,5,긴까꿈나년는니님다도디령몇무소송슨어었여올요이일입있죄지합해,까나는니다도디령무소슨어었여올요이일입있지해,22,긴꿈년님몇송죄합,8,512,0,0,0,0,0,1,8,512,-1,10,,,,0,511,codec:1240:15|codec:1240:17|codec:1240:16|codec:1240:14|codec:1240:24,confirmed_binary_and_builder_logic,,,,,1240,no,4952,per_gcx_size_preserved; no record relocation,,
codec,,,2,가것계그끝내는도되마면속야에이잊전지,가것계그내는도되마면야에이지,14,끝속잊전,4,256,0,0,0,0,0,85,4,256,-85,0,,,,0,171,codec:1257:18|codec:1257:19,confirmed_binary_and_builder_logic,,,,,1257,no,3576,per_gcx_size_preserved; no record relocation,,
codec,,,2,가고골는다라로료를물부상수술약에열와유을있치,가고는다라로를물부상수에와유을있,16,골료술약열치,6,384,0,0,0,0,0,103,6,384,-103,0,,,,0,281,codec:1344:11|codec:1344:10,confirmed_binary_and_builder_logic,,,,,1344,no,3584,per_gcx_size_preserved; no record relocation,,
codec,,,1,든심을적조해,심을적조해,5,든,1,64,0,0,0,0,0,24,1,64,-24,0,,,,0,40,codec:1354:14,confirmed_binary_and_builder_logic,,,,,1354,no,2632,per_gcx_size_preserved; no record relocation,,
codec,,,1,기를먹을인전해확,기를을인해,5,먹전확,3,192,0,0,0,0,0,24,3,192,-24,0,,,,0,168,codec:1357:14,confirmed_binary_and_builder_logic,,,,,1357,no,2632,per_gcx_size_preserved; no record relocation,,
codec,,,1,도수어있토할,도수어있할,5,토,1,64,0,0,0,0,0,14,1,64,-14,0,,,,0,50,codec:1359:11,confirmed_binary_and_builder_logic,,,,,1359,no,3084,per_gcx_size_preserved; no record relocation,,
codec,,,1,돌려로를방엄여움으직칠향헤,돌려로를방여으,7,엄움직칠향헤,6,384,0,0,0,0,0,57,6,384,-57,0,,,,0,327,codec:1362:15,confirmed_binary_and_builder_logic,,,,,1362,no,3200,per_gcx_size_preserved; no record relocation,,
codec,,,1,겠니다대더롤번보살습에을컨트펴한,겠니다대더번보습에을한,11,롤살컨트펴,5,320,0,0,0,0,0,5,5,320,-5,0,,,,0,315,codec:1365:14,confirmed_binary_and_builder_logic,,,,,1365,no,3624,per_gcx_size_preserved; no record relocation,,
codec,,,3,거격고그기는다도뒤러력를마면무반방법붙서수심쓸어에여완으을의있잡적전주질해회히힌,거고그기는다도러를마면무방법서수심어에여으을의있잡적해히,28,격뒤력반붙쓸완전주질회힌,12,768,0,0,0,0,0,124,12,768,-124,0,,,,0,644,codec:1366:26|codec:1366:15|codec:1366:14,confirmed_binary_and_builder_logic,,,,,1366,no,5600,per_gcx_size_preserved; no record relocation,,
codec,,,1,권나는들또를맨손어예이총프,나는들또를어이프,8,권맨손예총,5,320,0,0,0,0,0,16,5,320,-16,0,,,,0,304,codec:1367:15,confirmed_binary_and_builder_logic,,,,,1367,no,3776,per_gcx_size_preserved; no record relocation,,
codec,,,2,고그니다뒤들라릅막명보부분예은의장철히,고그니다들라명보부분은의히,13,뒤릅막예장철,6,384,0,0,0,0,0,15,6,384,-15,0,,,,0,369,codec:1369:17|codec:1369:16,confirmed_binary_and_builder_logic,,,,,1369,no,3820,per_gcx_size_preserved; no record relocation,,
codec,,,1,나는령북소왜요탈했,나는령소왜요,6,북탈했,3,192,0,0,0,0,0,0,3,192,0,0,,,,0,192,codec:1370:14,confirmed_binary_and_builder_logic,,,,,1370,no,5748,per_gcx_size_preserved; no record relocation,,
codec,,,1,경우의,우의,2,경,1,64,0,0,0,0,0,7,1,64,-7,0,,,,0,57,codec:1373:51,confirmed_binary_and_builder_logic,,,,,1373,no,5212,per_gcx_size_preserved; no record relocation,,
