term,occurrences,unique_rows,category,existing_reference
fire,113,13,TUTORIAL_CONTROL,
formatting,102,3,OTHER,
equip,97,5,OTHER,
boss,97,4,OTHER,
wear,95,4,OTHER,
side,95,4,OTHER,
deleted,95,3,OTHER,
crawl,93,3,TUTORIAL_CONTROL,
retrieve,93,3,TUTORIAL_CONTROL,
machine,93,3,TUTORIAL_CONTROL,
ussr,93,3,TUTORIAL_CONTROL,
detects,93,3,OTHER,
army,93,3,ITEM_WEAPON,
action,93,3,OTHER,
i'm,93,3,OTHER,
read,93,3,OTHER,
end,92,4,OTHER,
auscam,91,3,ITEM_WEAPON,
behind,91,3,ITEM_WEAPON,
got,17,17,TITLE_AWARD,
repeatedly,12,5,TUTORIAL_CONTROL,
combo,10,4,TUTORIAL_CONTROL,
consumes,10,5,ITEM_WEAPON,
reflected,10,10,ITEM_WEAPON,
bare,8,3,TUTORIAL_CONTROL,
hands,8,3,TUTORIAL_CONTROL,
punch,8,3,TUTORIAL_CONTROL,
hangar,7,4,OTHER,
circle,6,3,OTHER,
pad,6,3,OTHER,
hive,6,3,TUTORIAL_CONTROL,
supressor,6,3,TUTORIAL_CONTROL,
cardboard,6,3,OTHER,
box,6,3,OTHER,
damaged,6,3,OTHER,
opens,6,3,OTHER,
door,6,3,OTHER,
sokolov,5,4,OTHER,
shagohod,5,4,OTHER,
ocelot,5,5,OTHER,
volgin,4,3,OTHER,
bees,3,3,TUTORIAL_CONTROL,
commencing,3,3,ITEM_WEAPON,
meeting,3,3,ITEM_WEAPON,
reuniting,3,3,OTHER,
